Numero de vaca;Address;Fecha/hora de visita;tiempo en cubiculo;Produccion de leche;tiempo;Descripcion;CIB;
170;101;19/02/2022 13:10:00;10:07;14.5;10:07;Correcto;170;
245;101;19/02/2022 13:17:00;6:32;9.3;6:32;Correcto;245;
81;101;19/02/2022 13:24:00;7:03;8.7;7:03;Correcto;81;
473;101;19/02/2022 13:31:00;7:24;13.1;7:24;Correcto;473;
404;101;19/02/2022 13:36:00;5:10;8.9;5:10;Correcto;404;
149;101;19/02/2022 13:44:00;7:25;10.3;7:25;Correcto;149;
130;101;19/02/2022 13:52:00;7:31;14.1;7:31;Correcto;130;
13;101;19/02/2022 13:59:00;7:15;11.3;7:15;Correcto;13;
516;101;19/02/2022 14:04:00;5:07;12.3;5:07;Correcto;516;
259;101;19/02/2022 14:14:00;9:27;15.2;9:27;Correcto;259;
224;101;19/02/2022 14:20:00;5:55;10.1;5:55;Correcto;224;
53;101;19/02/2022 14:25:00;5:15;14.1;5:15;Correcto;53;
208;101;19/02/2022 14:32:00;6:14;2.1;6:14;Tiempo de conexi�n;208;
134;101;19/02/2022 14:37:00;4:45;15.6;4:45;Correcto;134;
220;101;19/02/2022 14:42:00;4:25;10.1;4:25;Correcto;220;
226;101;19/02/2022 14:47:00;4:59;11.3;4:59;Correcto;226;
72;101;19/02/2022 14:51:00;3:57;10.4;3:57;Correcto;72;
233;101;19/02/2022 15:01:00;10:01;17.9;10:01;Correcto;233;
138;101;19/02/2022 15:09:00;7:39;13;7:39;Correcto;138;
167;101;19/02/2022 15:16:00;7:33;14.9;7:33;Correcto;167;
150;101;19/02/2022 15:23:00;6:07;18.6;6:07;Correcto;150;
228;101;19/02/2022 15:29:00;6:21;8.4;6:21;Correcto;228;
141;101;19/02/2022 15:37:00;7:27;18.4;7:27;Correcto;141;
31;101;19/02/2022 15:42:00;5:24;13.9;5:24;Correcto;31;
117;101;19/02/2022 15:51:00;8:05;17;8:05;Correcto;117;
412;101;19/02/2022 15:57:00;6:25;11.7;6:25;Correcto;412;
231;101;19/02/2022 16:05:00;8:15;17.4;8:15;Correcto;231;
240;101;19/02/2022 16:11:00;5:32;14.5;5:32;Correcto;240;
58;101;19/02/2022 16:17:00;6:17;18;6:17;Correcto;58;
76;101;19/02/2022 16:25:00;7:18;11.8;7:18;Correcto;76;
236;101;19/02/2022 16:31:00;5:21;14.6;5:21;Correcto;236;
198;101;19/02/2022 16:37:00;5:54;14.5;5:54;Correcto;198;
221;101;19/02/2022 16:44:00;6:57;16.3;6:57;Correcto;221;
175;101;19/02/2022 16:54:00;9:55;21.9;9:55;Correcto;175;
197;101;19/02/2022 17:03:00;8:41;20.7;8:41;Correcto;197;
153;101;19/02/2022 17:09:00;6:38;16.9;6:38;Correcto;153;
212;101;19/02/2022 17:16:00;6:35;12;6:35;Correcto;212;
21;101;19/02/2022 17:23:00;6:22;13.1;6:22;Correcto;21;
59;101;19/02/2022 17:30:00;5:51;21;5:51;Correcto;59;
81;101;19/02/2022 17:37:00;6:42;8.3;6:42;Correcto;81;
245;101;19/02/2022 17:43:00;6:01;10.2;6:01;Correcto;245;
132;101;19/02/2022 17:50:00;6:59;14.4;6:59;Correcto;132;
227;101;19/02/2022 17:55:00;4:55;13.6;4:55;Correcto;227;
280;101;19/02/2022 18:04:00;8:54;14.5;8:54;Correcto;280;
291;101;19/02/2022 18:34:00;6:24;11.6;6:24;Correcto;291;
532;101;19/02/2022 18:47:00;13:01;13.4;13:01;Correcto;532;
49;101;19/02/2022 18:54:00;6:47;14.3;6:47;Correcto;49;
130;101;19/02/2022 19:00:00;5:40;10.3;5:40;Correcto;130;
47;101;19/02/2022 19:07:00;7:25;22.3;7:25;Correcto;47;
84;101;19/02/2022 19:21:00;8:36;15.1;8:36;Correcto;84;
473;101;19/02/2022 19:28:00;5:50;10.3;5:50;Correcto;473;
13;101;19/02/2022 19:35:00;7:29;8.6;7:29;Correcto;13;
246;101;19/02/2022 19:54:00;5:41;11.1;5:41;Correcto;246;
224;101;19/02/2022 20:00:00;5:34;9.2;5:34;Correcto;224;
77;101;19/02/2022 20:12:00;12:29;21;12:29;Correcto;77;
392;101;19/02/2022 20:22:00;9:11;7.3;9:11;Correcto;392;
218;101;19/02/2022 20:32:00;6:27;9.3;6:27;Correcto;218;
220;101;19/02/2022 20:37:00;4:49;10.1;4:49;Correcto;220;
208;101;19/02/2022 20:47:00;9:31;17.8;9:31;Correcto;208;
167;101;19/02/2022 20:55:00;8:35;11.1;8:35;Correcto;167;
516;101;19/02/2022 21:00:00;4:27;11.2;4:27;Correcto;516;
72;101;19/02/2022 21:05:00;5:03;13.2;5:03;Correcto;72;
90;101;19/02/2022 21:12:00;6:52;20.7;6:52;Correcto;90;
171;101;19/02/2022 21:24:00;12:29;22.1;12:29;Correcto;171;
259;101;19/02/2022 21:34:00;9:15;13.1;9:15;Correcto;259;
249;101;19/02/2022 21:39:00;5:31;14.4;5:31;Correcto;249;
302;101;19/02/2022 21:45:00;4:50;12;4:50;Correcto;302;
394;101;19/02/2022 21:56:00;8:49;14.9;8:49;Correcto;394;
236;101;19/02/2022 22:05:00;5:26;11;5:26;Correcto;236;
226;101;19/02/2022 22:11:00;5:31;11.7;5:31;Correcto;226;
170;101;19/02/2022 22:22:00;10:39;18.2;10:39;Correcto;170;
412;101;19/02/2022 22:29:00;6:24;9.8;6:24;Correcto;412;
53;101;19/02/2022 22:34:00;5:16;15.9;5:16;Correcto;53;
