cow,date,kgm,time,meanCH4,meanCO2,meanRatioCH4_CO2,AUC_CH4,AUC_Ratio,peaks,peaks_per_minute,Sum_of_PeaksCH4,Sum_of_PeaksCO2,Sum_of_PeaksRatio,Mean_of_PeaksCH4,Mean_of_PeaksRatio,Sum_MaxPeak,meanCH4_5s,Sum_of_PeaksCH4_5s,validity
7436,Thu Aug 11 00:26:09 CEST 2022,5.78,250,123.93,3089.04,0.03,8700.96,2.3,3,0.72,4402.56,110116.8,1.16,30.67,0.01,133.68,121.4,879.84,1
5426,Thu Aug 11 00:30:21 CEST 2022,20.12,298,550.37,3983.28,0.1,39076.51,8.43,3,0.6,19614.77,147084.56,4.24,114.04,0.02,1473.83,579.49,3831.54,11
9758,Thu Aug 11 00:37:04 CEST 2022,14.7,435,195.17,4251.99,0.05,13864.83,3.9,5,0.69,6998.62,140669.52,1.97,27.8,0.01,204.14,196,1387.59,11
5424,Thu Aug 11 00:45:33 CEST 2022,13.73,406,360.75,4211.7,0.05,27399.61,4.25,6,0.89,13907.59,164231.53,2.16,53.03,0.01,393.99,364.83,2776.55,11
9750,Thu Aug 11 00:52:21 CEST 2022,18.04,418,76.47,2099.4,0.03,943.06,0.57,1,0.14,473.68,11767.75,0.29,11.28,0.01,18.66,75.67,93.3,11
6732,Thu Aug 11 01:01:28 CEST 2022,11.35,411,215.63,3384.2,0.04,13642.34,2.48,4,0.58,6901.02,92587.45,1.26,36.71,0.01,206.13,216.03,1386.57,11
6502,Thu Aug 11 01:11:14 CEST 2022,9.04,305,175.97,4138.53,0.04,14754.1,3.05,5,0.98,7475.41,168202.23,1.54,39.03,0.01,281.31,175.5,1497.05,1
7371,Thu Aug 11 01:17:25 CEST 2022,10.64,294,313.83,2611.79,0.09,29995.92,6.86,2,0.41,15016.33,75663.27,3.44,115,0.03,822.45,318.14,3095.92,1
6490,Thu Aug 11 01:22:21 CEST 2022,18.48,358,253.47,4816.97,0.04,24345.25,3.86,3,0.5,12239.66,204695.2,1.94,54.68,0.01,246.37,255.67,2441.9,1
7434,Thu Aug 11 01:28:21 CEST 2022,14.99,418,663.84,5044.57,0.1,47106.6,7.54,4,0.57,23614.16,191972.73,3.79,87.69,0.01,996.75,672,4578.95,1
6718,Thu Aug 11 01:36:30 CEST 2022,13.79,529,270.57,4795.6,0.05,14426.09,2.48,4,0.45,7257.84,114792.82,1.25,37.61,0.01,369.19,278.67,1458.6,11
5425,Thu Aug 11 01:50:31 CEST 2022,12.41,288,143.67,2881.83,0.04,13386.67,3.46,5,1.04,6799.58,128667.5,1.76,36.77,0.01,248.96,144.35,1357.08,1
6491,Thu Aug 11 01:55:21 CEST 2022,15.46,298,148.06,3454.45,0.04,6370.47,2.05,3,0.6,3241.61,88230.2,1.04,31.27,0.01,146.98,148.47,662.42,1
9754,Thu Aug 11 02:05:17 CEST 2022,13.24,422,134.77,3888.73,0.03,5519.43,1.45,3,0.43,2781.04,75739.34,0.73,20.87,0.01,102.37,136,572.99,1
6500,Thu Aug 11 02:20:49 CEST 2022,9.78,450,234.33,3877.95,0.04,8218.67,1.48,3,0.4,4193.33,86988.27,0.76,36.12,0.01,165.33,238.5,808,11
2504,Thu Aug 11 02:30:20 CEST 2022,14.89,359,206.3,3324.17,0.06,15491.36,4.79,4,0.67,7793.31,137015.6,2.41,33.38,0.01,222.28,202.83,1550.97,1
3628,Thu Aug 11 02:48:42 CEST 2022,9.87,337,407.8,6670.33,0.04,39096.14,3.39,5,0.89,19842.73,322975.55,1.72,82.87,0.01,534.12,403.67,3913.35,1
7441,Thu Aug 11 03:10:19 CEST 2022,8.53,420,51.1,2971.6,0.02,3281.43,0.78,1,0.14,1650,44765.71,0.39,28.95,0.01,44.29,50.5,327.14,0
4110,Thu Aug 11 03:17:21 CEST 2022,13.42,478,113.57,3536.01,0.03,7084.52,1.56,4,0.5,3579.92,99233.47,0.79,20.8,0,123.01,115.33,720.5,1
6243,Thu Aug 11 03:26:28 CEST 2022,8.47,411,463.93,5259.29,0.08,17941.61,3.37,4,0.58,9248.18,119749.49,1.73,86.72,0.01,589.05,450,1813.14,0
6232,Thu Aug 11 03:33:21 CEST 2022,7.84,478,174.93,4278.73,0.04,11366.11,2.83,4,0.5,5731.38,109933.05,1.44,26.56,0.01,160.67,175.5,1143.51,1
5132,Thu Aug 11 03:46:51 CEST 2022,12.92,388,31.2,1218.7,0.03,2854.64,1.75,3,0.46,1433.51,53930.41,0.88,10.97,0.01,63.4,30.67,287.63,10
9759,Thu Aug 11 04:13:59 CEST 2022,9,320,123.1,2776.13,0.03,10003.13,2.41,5,0.94,5064.38,97407.38,1.22,26.08,0.01,183.75,123.33,1014.38,0
6734,Thu Aug 11 04:19:56 CEST 2022,11.9,323,410.7,4613.01,0.06,36754.18,4.75,3,0.56,18434.67,206883.72,2.38,89.67,0.01,589.78,423,3700.31,11
2517,Thu Aug 11 04:25:22 CEST 2022,20.37,357,84.53,1945.68,0.04,8109.24,3.19,4,0.67,4078.99,78637.65,1.61,17.58,0.01,121.85,83.5,800,1
6722,Thu Aug 11 04:31:21 CEST 2022,23.42,538,215.67,4195.45,0.04,11358.74,1.9,4,0.45,5718.96,99327.21,0.96,23.19,0,137.17,219.17,1153.16,1
6723,Thu Aug 11 05:37:21 CEST 2022,14.18,478,243.07,5744.07,0.04,15138.08,2.35,3,0.38,7623.01,165490.79,1.18,40.44,0.01,178.24,245.67,1527.62,1
9765,Thu Aug 11 05:49:07 CEST 2022,10.49,312,390.63,6612.85,0.06,32103.85,4.93,5,0.96,16373.08,272400.38,2.51,88.11,0.01,521.15,389.17,3286.54,11
9752,Thu Aug 11 05:55:15 CEST 2022,12.61,304,144.33,5473.7,0.02,12576.32,1.49,4,0.79,6371.05,219935.53,0.75,35.68,0,178.62,145.33,1269.08,10
2516,Thu Aug 11 06:06:22 CEST 2022,18.74,237,238.78,3699.5,0.06,23098.73,6.13,3,0.76,11635.44,140905.32,3.1,83.02,0.02,756.96,254.89,2298.73,11
